Date,Adams,Alamosa,Arapahoe,Archuleta,Baca,Bent,Boulder,Broomfield,Chaffee,Cheyenne,Clear Creek,Conejos,Costilla,Crowley,Custer,Delta,Denver,Dolores,Douglas,Eagle,El Paso,Elbert,Fremont,Garfield,Gilpin,Grand,Gunnison,Hinsdale,Huerfano,Jackson,Jefferson,Kiowa,Kit Carson,La Plata,Lake,Larimer,Las Animas,Lincoln,Logan,Mesa,Mineral,Moffat,Montezuma,Montrose,Morgan,Otero,Ouray,Out of CO,Park,Phillips,Pitkin,Prowers,Pueblo,Rio Blanco,Rio Grande,Routt,Saguache,San Juan,San Miguel,Sedgwick,Summit,Teller,Unassigned,Washington,Weld,Yuma
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,11,1,0,0,0,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,3,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,4,16,2,0,0,0,0,0,5,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0
2020-03-14,6,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,23,0,4,20,3,0,0,0,0,0,7,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0
2020-03-15,6,0,15,0,0,0,7,0,0,0,1,0,0,0,0,0,28,0,8,24,4,0,0,1,0,0,9,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,0,0,0,0,2,0,0,0,4,0
2020-03-16,8,0,15,0,0,0,7,0,0,0,1,0,0,0,0,0,28,0,8,34,6,0,0,2,0,0,11,0,0,0,17,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,0,0,0,0,3,0,0,0,4,0
2020-03-17,10,0,18,0,0,0,8,0,0,0,2,0,0,0,0,0,41,0,9,34,6,0,0,2,0,0,11,0,0,0,17,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,0,0,0,0,3,0,0,0,5,0
2020-03-18,10,0,22,0,0,0,8,0,0,0,2,0,0,0,0,0,45,0,11,39,8,0,0,2,0,0,11,0,0,0,25,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,0,0,0,0,4,0,0,0,9,1
2020-03-19,10,0,22,0,0,0,11,0,0,0,2,0,0,1,0,0,61,0,14,51,15,0,0,3,0,1,13,0,0,0,36,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,0,2,0,0,2,0,0,0,0,5,0,0,0,9,1
2020-03-20,12,0,29,0,0,0,24,1,0,0,2,0,0,1,0,0,79,0,17,61,27,0,0,4,0,2,13,0,0,0,37,0,0,0,0,7,0,0,0,1,0,0,0,0,2,0,0,0,1,0,15,0,3,0,0,2,0,0,1,0,7,0,0,0,15,1
2020-03-21,14,0,40,0,0,0,30,1,2,0,3,0,0,1,0,0,97,0,27,74,37,3,0,7,0,2,18,1,0,0,43,0,0,0,0,19,0,0,0,1,0,0,0,1,2,0,0,0,1,0,15,0,3,0,0,2,0,0,1,0,7,0,1,0,21,1
2020-03-22,18,0,45,0,0,0,37,1,3,0,3,0,0,1,0,0,125,0,33,80,51,3,0,8,0,2,22,1,0,0,51,0,0,0,0,32,0,0,2,4,0,0,0,1,2,0,0,0,1,0,16,0,3,0,0,3,0,0,1,0,7,0,1,0,37,1
2020-03-23,25,0,58,0,0,0,39,2,3,0,3,0,0,1,0,0,148,0,48,92,69,3,0,8,0,2,28,1,0,0,55,0,0,0,0,34,0,0,2,5,0,0,0,1,3,0,0,0,1,0,18,0,3,0,0,3,0,0,1,0,8,3,5,0,50,1
2020-03-24,27,0,69,0,0,0,49,5,3,0,3,0,0,1,0,1,176,0,53,96,106,3,1,10,0,2,40,1,1,0,73,0,0,1,0,43,0,0,2,5,0,0,0,3,3,0,0,0,1,0,18,0,3,0,0,4,0,0,1,0,10,3,18,0,76,1
2020-03-25,38,0,88,0,0,0,51,8,3,0,3,0,0,1,0,1,214,0,58,120,122,3,1,13,0,2,52,1,1,0,93,0,0,1,0,45,0,0,2,6,0,0,0,4,3,1,0,0,1,0,21,0,3,0,0,6,0,0,1,0,9,5,18,0,87,1
2020-03-26,50,0,119,0,0,0,66,10,5,0,3,0,0,1,0,1,262,0,67,147,137,3,1,16,0,2,57,1,1,0,131,0,1,5,0,61,0,0,2,6,0,0,0,4,3,1,0,0,1,0,23,0,3,0,2,9,0,0,1,0,9,7,102,1,107,2
2020-03-27,71,1,155,0,1,0,76,13,5,0,3,0,1,1,0,2,312,0,79,170,160,3,1,16,0,2,66,1,1,0,158,0,2,13,0,67,0,1,3,7,0,0,0,6,4,2,0,0,1,0,25,0,6,0,2,12,0,0,1,0,13,7,136,1,129,2
2020-03-28,95,1,204,0,1,0,84,16,11,0,3,0,1,1,0,1,367,0,92,182,184,3,1,23,0,2,78,1,1,0,182,0,2,17,0,79,0,1,5,9,0,2,0,8,4,3,0,0,1,0,26,0,7,0,2,14,0,0,1,0,13,7,162,1,161,2
2020-03-29,110,1,241,0,1,0,90,17,15,0,3,0,1,1,0,1,408,0,102,187,214,3,1,25,0,2,79,1,1,0,213,0,1,21,0,84,0,1,5,12,1,2,1,8,5,3,0,0,3,0,27,0,10,0,3,16,0,0,1,0,11,7,186,1,180,2
2020-03-30,152,1,288,1,1,0,100,18,15,0,3,0,3,1,0,1,465,0,119,213,245,4,2,31,0,4,80,1,1,0,253,0,1,21,0,92,0,1,5,12,1,4,1,10,4,3,0,0,4,0,29,0,16,0,4,16,0,0,1,0,14,8,160,1,215,2
2020-03-31,181,1,333,1,3,0,107,20,17,0,4,0,3,1,0,1,539,0,141,227,286,5,2,33,0,4,82,1,1,0,304,0,2,23,1,99,0,1,6,14,2,4,1,13,4,3,0,0,3,1,30,0,21,0,5,17,1,0,4,0,20,7,129,1,255,2
2020-04-01,212,4,381,1,3,0,114,21,17,0,6,0,3,1,0,1,586,0,158,295,314,5,2,34,0,4,84,1,1,0,356,0,4,23,2,107,0,1,6,14,2,4,1,13,5,3,0,0,3,1,33,0,22,0,5,19,1,0,4,0,34,7,128,1,293,2
2020-04-02,260,4,441,1,9,0,132,30,18,0,6,0,3,1,1,1,643,0,171,314,340,5,2,43,0,4,86,1,1,0,385,0,4,24,2,124,0,1,7,17,2,4,3,14,7,3,0,0,3,2,36,0,26,0,5,23,3,0,7,0,26,7,144,1,329,2
2020-04-03,294,4,500,1,9,0,143,36,19,0,6,0,3,1,2,4,716,0,194,333,374,6,2,45,0,4,88,1,1,0,440,0,4,25,3,134,1,1,7,20,2,3,3,26,7,3,0,0,5,2,38,0,31,1,5,28,3,0,9,0,35,11,158,1,379,2
2020-04-04,320,4,552,1,9,0,154,44,21,0,6,0,3,1,2,4,769,0,209,333,406,9,3,45,0,4,90,1,1,0,483,0,5,25,3,144,1,1,8,20,2,3,6,31,16,3,2,0,5,3,38,0,36,1,5,29,3,0,9,0,50,11,204,1,424,2
2020-04-05,354,4,608,1,9,0,177,50,22,0,6,0,3,1,2,4,825,0,223,339,435,9,3,46,0,4,93,1,1,0,519,0,5,29,3,153,1,1,9,20,2,3,8,32,17,3,2,0,5,3,38,0,40,1,5,29,3,0,10,0,54,11,251,1,470,2
2020-04-06,367,4,652,6,9,0,189,50,22,0,6,0,3,1,2,5,847,0,227,355,441,9,3,47,0,4,95,1,1,0,540,0,5,32,3,158,1,1,11,25,2,3,8,34,19,4,2,0,5,3,39,0,42,1,5,29,3,0,10,0,58,11,276,1,504,2
2020-04-07,388,4,718,6,9,0,206,50,22,0,7,0,3,1,2,5,884,0,232,372,457,9,4,48,0,4,95,1,1,0,579,0,5,34,3,161,1,1,13,27,2,3,8,35,23,4,3,0,5,3,39,0,44,1,5,32,3,0,10,0,53,12,252,1,537,2
2020-04-08,417,5,764,6,9,0,207,52,23,0,7,0,3,1,2,5,927,0,244,374,472,10,4,49,0,4,98,1,1,0,610,0,5,34,3,167,1,1,13,32,2,3,8,35,23,4,3,0,5,4,39,0,45,1,5,32,3,0,10,0,56,12,238,1,573,2
2020-04-09,475,5,877,6,9,0,217,61,26,0,10,0,3,1,2,6,1031,0,270,394,534,10,5,50,1,4,99,1,1,0,660,0,6,37,4,174,2,1,13,32,2,3,8,38,44,5,4,0,5,4,39,1,48,1,5,32,3,0,11,0,57,12,235,2,614,2
2020-04-10,543,7,931,6,9,0,234,68,27,0,11,0,3,1,2,6,1113,0,282,426,550,13,5,52,1,4,101,1,1,0,683,0,6,44,4,177,2,1,13,34,2,3,12,38,51,5,4,0,6,4,47,1,50,1,5,35,3,0,11,0,64,12,145,2,649,2
2020-04-11,593,7,998,6,10,0,246,74,28,0,11,0,3,2,2,6,1182,0,292,433,578,14,6,54,1,4,102,1,1,0,713,0,7,43,4,180,2,1,13,34,2,3,11,50,56,5,4,0,6,4,49,1,53,1,5,35,3,0,12,0,68,12,175,2,683,2
2020-04-12,647,7,1083,6,10,0,264,81,28,0,11,0,3,2,2,6,1247,0,298,452,613,16,7,55,1,4,101,2,1,0,763,0,8,44,4,187,2,1,13,35,2,3,12,57,59,5,4,0,6,4,49,1,58,1,5,36,3,0,12,0,72,16,156,2,738,2
2020-04-13,693,7,1142,6,10,0,284,81,28,0,11,0,3,2,2,7,1346,0,304,457,641,16,8,58,1,4,99,2,1,0,787,0,8,44,4,193,2,2,13,35,2,3,12,59,75,5,4,0,6,4,49,1,64,1,5,41,3,0,12,0,77,15,145,2,808,2
2020-04-14,726,7,1183,6,10,0,293,88,28,0,11,0,3,2,2,12,1402,0,311,468,652,17,8,59,1,4,99,3,1,0,809,0,8,44,5,198,2,2,13,35,2,3,12,63,89,5,4,0,6,4,49,1,64,1,5,41,3,0,12,0,74,16,119,5,858,2
2020-04-15,758,7,1243,6,10,0,300,92,31,0,11,0,3,2,2,12,1468,0,312,480,668,16,9,62,1,4,104,3,1,0,837,0,8,46,5,202,2,2,13,34,2,3,12,65,103,5,4,0,6,4,51,1,68,1,7,41,3,0,12,0,76,16,111,5,928,2
2020-04-16,805,7,1342,6,10,0,312,95,35,0,11,0,3,2,2,13,1549,0,329,479,689,17,9,64,1,4,111,3,1,0,860,0,13,47,8,217,3,2,17,34,2,3,13,69,122,5,4,0,6,4,51,1,72,1,7,43,3,0,12,0,87,17,86,5,960,2
2020-04-17,860,7,1419,6,10,0,327,98,35,0,11,0,3,2,2,16,1636,0,353,482,708,20,9,65,1,4,112,3,1,0,888,0,13,51,8,224,3,3,17,34,2,3,13,70,135,6,5,0,6,5,51,1,78,1,7,46,3,0,13,0,93,18,67,5,986,2
2020-04-18,894,7,1498,7,10,0,342,101,37,0,11,0,3,2,2,19,1723,0,360,483,721,23,9,70,1,4,114,3,1,0,930,0,14,52,8,231,3,3,17,34,2,4,13,72,147,6,5,0,6,5,57,1,84,1,7,49,3,0,13,0,93,18,80,6,1029,2
2020-04-19,915,7,1536,7,10,0,352,101,38,0,11,0,3,2,2,22,1784,0,368,485,731,23,10,70,1,4,114,3,1,0,957,0,18,52,8,239,3,3,17,35,2,4,13,77,157,6,5,0,6,5,57,1,87,1,7,49,3,0,15,0,93,24,114,6,1063,3
2020-04-20,968,9,1602,7,10,0,360,103,38,0,11,0,3,2,2,25,1880,0,381,486,734,24,11,71,1,4,117,3,1,0,987,0,18,52,8,245,3,3,22,35,2,5,13,80,167,7,5,0,6,5,57,1,88,1,7,49,3,0,17,0,93,24,126,6,1121,3
2020-04-21,996,9,1649,7,10,0,390,106,38,0,11,0,3,2,2,25,2004,0,384,487,744,24,11,71,1,5,121,3,1,0,1011,0,18,51,8,250,3,3,23,35,2,6,13,80,180,7,5,0,6,5,58,1,92,1,7,51,3,0,17,0,93,25,126,6,1180,3
2020-04-22,1033,9,1717,9,10,0,417,110,55,0,11,0,3,2,2,25,2071,0,392,488,774,24,19,71,1,5,121,3,1,0,1064,0,18,53,9,266,3,3,24,37,2,6,13,82,202,7,5,0,6,5,57,1,107,1,7,52,3,0,17,0,101,25,95,6,1237,4
2020-04-23,1082,9,1824,8,10,0,426,113,55,0,12,0,3,2,2,25,2172,0,399,489,798,26,19,74,1,5,121,3,1,0,1075,0,18,55,10,274,3,3,24,37,2,6,15,82,214,7,5,0,6,5,57,1,108,1,7,52,3,0,17,0,105,25,108,6,1263,5
2020-04-24,1252,10,2030,8,10,0,470,126,66,0,13,0,3,2,2,26,2385,0,414,506,853,27,19,81,1,5,123,3,1,0,1157,0,19,56,12,291,3,3,31,37,2,6,15,83,232,8,5,0,7,5,59,1,117,1,7,52,3,0,17,0,97,26,103,6,1353,6
2020-04-25,1302,10,2083,8,10,0,497,135,66,0,13,0,3,2,2,26,2487,0,425,512,862,27,20,83,1,5,151,3,2,0,1236,0,19,59,16,303,3,4,213,38,2,6,15,87,249,8,5,0,7,5,59,1,121,1,7,52,3,0,17,0,97,27,131,6,1430,6
